INFO:LSP:Server started.
DEBUG:LSP:Received method: initialize
DEBUG:LSP:Received method: initialized
DEBUG:LSP:Received method: textDocument/didOpen
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: $/setTrace
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/documentHighlight
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/documentHighlight
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/documentHighlight
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/documentHighlight
DEBUG:LSP:Received method: textDocument/documentHighlight
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/didChange
DEBUG:LSP:Received method: textDocument/completion
DEBUG:LSP:Received method: textDocument/semanticTokens/full
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/foldingRange
DEBUG:LSP:Received method: textDocument/codeLens
